job_id,job_size,fcfs_completions,rmlf_completions,fcfs_percentage,rmlf_percentage
360,20.0,14,6,70.0,30.0
361,40.0,34,6,85.0,15.0
362,24.0,18,6,75.0,25.0
363,34.0,28,6,82.4,17.6
364,22.0,16,6,72.7,27.3
365,27.0,21,6,77.8,22.2
366,27.0,21,6,77.8,22.2
367,27.0,21,6,77.8,22.2
368,20.0,14,6,70.0,30.0
369,34.0,28,6,82.4,17.6
370,17.0,11,6,64.7,35.3
371,44.0,38,6,86.4,13.6
372,29.0,23,6,79.3,20.7
373,31.0,25,6,80.6,19.4
374,18.0,12,6,66.7,33.3
375,22.0,16,6,72.7,27.3
376,20.0,14,6,70.0,30.0
377,19.0,13,6,68.4,31.6
378,39.0,33,6,84.6,15.4
379,43.0,37,6,86.0,14.0
380,28.0,22,6,78.6,21.4
381,33.0,27,6,81.8,18.2
382,27.0,21,6,77.8,22.2
383,57.0,51,6,89.5,10.5
384,17.0,11,6,64.7,35.3
385,18.0,12,6,66.7,33.3
386,27.0,21,6,77.8,22.2
387,27.0,21,6,77.8,22.2
388,23.0,17,6,73.9,26.1
389,24.0,18,6,75.0,25.0
390,29.0,23,6,79.3,20.7
391,18.0,12,6,66.7,33.3
392,27.0,21,6,77.8,22.2
393,21.0,15,6,71.4,28.6
394,23.0,17,6,73.9,26.1
395,22.0,16,6,72.7,27.3
396,33.0,27,6,81.8,18.2
397,46.0,40,6,87.0,13.0
398,21.0,15,6,71.4,28.6
399,28.0,22,6,78.6,21.4
400,24.0,18,6,75.0,25.0
401,45.0,39,6,86.7,13.3
402,26.0,20,6,76.9,23.1
403,31.0,25,6,80.6,19.4
404,34.0,28,6,82.4,17.6
405,22.0,16,6,72.7,27.3
406,25.0,19,6,76.0,24.0
407,17.0,11,6,64.7,35.3
408,28.0,22,6,78.6,21.4
409,64.0,58,6,90.6,9.4
410,62.0,56,6,90.3,9.7
411,24.0,18,6,75.0,25.0
412,20.0,14,6,70.0,30.0
413,22.0,16,6,72.7,27.3
414,49.0,43,6,87.8,12.2
415,27.0,21,6,77.8,22.2
416,19.0,13,6,68.4,31.6
417,59.0,53,6,89.8,10.2
418,37.0,31,6,83.8,16.2
419,23.0,17,6,73.9,26.1
420,41.0,35,6,85.4,14.6
421,37.0,31,6,83.8,16.2
422,36.0,30,6,83.3,16.7
423,29.0,23,6,79.3,20.7
424,19.0,13,6,68.4,31.6
425,34.0,28,6,82.4,17.6
426,31.0,25,6,80.6,19.4
427,33.0,27,6,81.8,18.2
428,40.0,34,6,85.0,15.0
429,21.0,15,6,71.4,28.6
430,31.0,25,6,80.6,19.4
431,55.0,49,6,89.1,10.9
432,37.0,31,6,83.8,16.2
433,17.0,11,6,64.7,35.3
434,25.0,19,6,76.0,24.0
435,57.0,51,6,89.5,10.5
436,23.0,17,6,73.9,26.1
437,20.0,14,6,70.0,30.0
438,19.0,13,6,68.4,31.6
439,43.0,37,6,86.0,14.0
440,34.0,28,6,82.4,17.6
441,23.0,17,6,73.9,26.1
442,24.0,18,6,75.0,25.0
443,58.0,52,6,89.7,10.3
444,39.0,33,6,84.6,15.4
445,17.0,11,6,64.7,35.3
446,19.0,13,6,68.4,31.6
447,28.0,22,6,78.6,21.4
448,21.0,15,6,71.4,28.6
449,19.0,13,6,68.4,31.6
450,33.0,27,6,81.8,18.2
451,37.0,31,6,83.8,16.2
452,26.0,20,6,76.9,23.1
453,22.0,16,6,72.7,27.3
454,29.0,23,6,79.3,20.7
455,60.0,54,6,90.0,10.0
456,24.0,18,6,75.0,25.0
457,38.0,32,6,84.2,15.8
458,28.0,22,6,78.6,21.4
459,21.0,15,6,71.4,28.6
460,20.0,14,6,70.0,30.0
461,17.0,11,6,64.7,35.3
462,18.0,12,6,66.7,33.3
463,34.0,28,6,82.4,17.6
464,28.0,22,6,78.6,21.4
465,17.0,11,6,64.7,35.3
466,37.0,31,6,83.8,16.2
467,31.0,25,6,80.6,19.4
468,32.0,26,6,81.2,18.8
469,19.0,13,6,68.4,31.6
470,56.0,50,6,89.3,10.7
471,34.0,28,6,82.4,17.6
472,58.0,52,6,89.7,10.3
473,42.0,36,6,85.7,14.3
474,17.0,11,6,64.7,35.3
475,44.0,38,6,86.4,13.6
476,34.0,28,6,82.4,17.6
477,30.0,24,6,80.0,20.0
478,20.0,14,6,70.0,30.0
479,19.0,13,6,68.4,31.6
480,49.0,43,6,87.8,12.2
481,19.0,13,6,68.4,31.6
482,18.0,12,6,66.7,33.3
483,22.0,16,6,72.7,27.3
484,35.0,29,6,82.9,17.1
485,26.0,20,6,76.9,23.1
486,20.0,14,6,70.0,30.0
487,38.0,32,6,84.2,15.8
488,64.0,58,6,90.6,9.4
489,18.0,12,6,66.7,33.3
490,56.0,50,6,89.3,10.7
491,20.0,14,6,70.0,30.0
492,18.0,12,6,66.7,33.3
493,40.0,34,6,85.0,15.0
494,23.0,17,6,73.9,26.1
495,22.0,16,6,72.7,27.3
496,30.0,24,6,80.0,20.0
497,27.0,21,6,77.8,22.2
498,19.0,13,6,68.4,31.6
499,42.0,36,6,85.7,14.3
500,44.0,38,6,86.4,13.6
501,33.0,27,6,81.8,18.2
502,34.0,28,6,82.4,17.6
503,21.0,15,6,71.4,28.6
504,17.0,11,6,64.7,35.3
505,29.0,23,6,79.3,20.7
506,32.0,26,6,81.2,18.8
507,19.0,13,6,68.4,31.6
508,20.0,14,6,70.0,30.0
509,52.0,46,6,88.5,11.5
510,21.0,15,6,71.4,28.6
511,61.0,55,6,90.2,9.8
512,17.0,11,6,64.7,35.3
513,18.0,12,6,66.7,33.3
514,20.0,14,6,70.0,30.0
515,17.0,11,6,64.7,35.3
516,30.0,24,6,80.0,20.0
517,29.0,23,6,79.3,20.7
518,53.0,47,6,88.7,11.3
519,20.0,14,6,70.0,30.0
520,22.0,16,6,72.7,27.3
521,33.0,27,6,81.8,18.2
522,46.0,40,6,87.0,13.0
523,43.0,37,6,86.0,14.0
524,25.0,19,6,76.0,24.0
525,26.0,20,6,76.9,23.1
526,17.0,11,6,64.7,35.3
527,26.0,20,6,76.9,23.1
528,32.0,26,6,81.2,18.8
529,47.0,41,6,87.2,12.8
530,25.0,19,6,76.0,24.0
531,27.0,21,6,77.8,22.2
532,18.0,12,6,66.7,33.3
533,26.0,20,6,76.9,23.1
534,27.0,21,6,77.8,22.2
535,19.0,13,6,68.4,31.6
536,40.0,34,6,85.0,15.0
537,34.0,28,6,82.4,17.6
538,49.0,43,6,87.8,12.2
539,17.0,11,6,64.7,35.3
540,55.0,49,6,89.1,10.9
541,20.0,14,6,70.0,30.0
542,17.0,11,6,64.7,35.3
543,23.0,17,6,73.9,26.1
544,20.0,14,6,70.0,30.0
545,34.0,28,6,82.4,17.6
546,23.0,17,6,73.9,26.1
547,25.0,19,6,76.0,24.0
548,18.0,12,6,66.7,33.3
549,24.0,18,6,75.0,25.0
550,28.0,22,6,78.6,21.4
551,39.0,33,6,84.6,15.4
552,24.0,18,6,75.0,25.0
553,24.0,18,6,75.0,25.0
554,52.0,46,6,88.5,11.5
555,31.0,25,6,80.6,19.4
556,23.0,17,6,73.9,26.1
557,22.0,16,6,72.7,27.3
558,17.0,11,6,64.7,35.3
559,24.0,18,6,75.0,25.0
560,49.0,43,6,87.8,12.2
561,21.0,15,6,71.4,28.6
562,25.0,19,6,76.0,24.0
563,23.0,17,6,73.9,26.1
564,31.0,25,6,80.6,19.4
565,28.0,22,6,78.6,21.4
566,54.0,48,6,88.9,11.1
567,44.0,38,6,86.4,13.6
568,18.0,12,6,66.7,33.3
569,24.0,18,6,75.0,25.0
570,17.0,11,6,64.7,35.3
571,21.0,15,6,71.4,28.6
572,29.0,23,6,79.3,20.7
573,30.0,24,6,80.0,20.0
574,31.0,25,6,80.6,19.4
575,19.0,13,6,68.4,31.6
576,49.0,43,6,87.8,12.2
577,47.0,41,6,87.2,12.8
578,27.0,21,6,77.8,22.2
579,34.0,28,6,82.4,17.6
580,28.0,22,6,78.6,21.4
581,17.0,11,6,64.7,35.3
582,22.0,16,6,72.7,27.3
583,17.0,11,6,64.7,35.3
584,34.0,28,6,82.4,17.6
585,48.0,42,6,87.5,12.5
586,28.0,22,6,78.6,21.4
587,19.0,13,6,68.4,31.6
588,20.0,14,6,70.0,30.0
589,18.0,12,6,66.7,33.3
590,23.0,17,6,73.9,26.1
591,33.0,27,6,81.8,18.2
592,28.0,22,6,78.6,21.4
593,23.0,17,6,73.9,26.1
594,18.0,12,6,66.7,33.3
595,36.0,30,6,83.3,16.7
596,22.0,16,6,72.7,27.3
597,17.0,11,6,64.7,35.3
598,39.0,33,6,84.6,15.4
599,59.0,53,6,89.8,10.2
600,50.0,44,6,88.0,12.0
601,41.0,35,6,85.4,14.6
602,57.0,51,6,89.5,10.5
